,symbol,correlation,pvalue
491,PPP2R2B,0.142857143,0.802777778
492,SLC12A2-DT,0.771428571,0.102777778
493,EIF2B4,0.828571429,0.058333333
494,PDHB,0.142857143,0.802777778
495,IL15,0.771428571,0.102777778
496,NDFIP1,0.142857143,0.802777778
497,FGF12,0.142857143,0.802777778
498,NSG2,0.142857143,0.802777778
499,INPPL1,0.828571429,0.058333333
500,FKBP1A,0.142857143,0.802777778
501,PDP1,0.142857143,0.802777778
502,UBE2W,0.142857143,0.802777778
503,SERPINB6,0.828571429,0.058333333
504,CGN,0.771428571,0.102777778
505,PFDN1,0.142857143,0.802777778
506,SYNGR1,0.142857143,0.802777778
507,ERLEC1,0.142857143,0.802777778
508,YWHAZ,0.142857143,0.802777778
509,LMNB2,0.828571429,0.058333333
510,PLOD1,0.828571429,0.058333333
511,PROM2,0.771428571,0.102777778
512,STMN2,0.142857143,0.802777778
513,DDAH2,0.771428571,0.102777778
514,SLC8A1,0.142857143,0.802777778
515,VAMP2,0.142857143,0.802777778
516,UBIAD1,0.771428571,0.102777778
517,PLEKHA7,0.771428571,0.102777778
518,ZXDB,0.142857143,0.802777778
519,CAMK1G,0.142857143,0.802777778
520,TUBA1B,0.142857143,0.802777778
521,MS4A14,0.771428571,0.102777778
522,TMEM14B,0.142857143,0.802777778
523,FAM107B,0.828571429,0.058333333
524,TRIP10,0.771428571,0.102777778
525,NAV2,0.828571429,0.058333333
526,TOMM20,0.142857143,0.802777778
527,RCC2,0.828571429,0.058333333
528,XPNPEP2,0.142857143,0.802777778
529,RAMP1,0.828571429,0.058333333
530,MYOT,0.828571429,0.058333333
531,NSRP1,0.828571429,0.058333333
532,MVB12A,0.828571429,0.058333333
533,SYNGR3,0.142857143,0.802777778
534,TBL2,0.142857143,0.802777778
535,MRGBP,0.828571429,0.058333333
536,RNF216,0.828571429,0.058333333
537,PSMG1,0.142857143,0.802777778
538,MXD4,0.828571429,0.058333333
539,MORC4,0.771428571,0.102777778
540,GSKIP,0.142857143,0.802777778
541,GSTM3,0.828571429,0.058333333
542,C2CD2,0.828571429,0.058333333
543,RALGDS,0.828571429,0.058333333
544,HPRT1,0.142857143,0.802777778
545,CHST12,0.828571429,0.058333333
546,MTIF2,0.828571429,0.058333333
547,TLNRD1,0.142857143,0.802777778
548,ARF5,0.142857143,0.802777778
549,STX12,0.142857143,0.802777778
550,ACTR10,0.142857143,0.802777778
551,WWC1,0.828571429,0.058333333
552,BBX,0.828571429,0.058333333
553,PAWR,0.771428571,0.102777778
554,RNF166,0.771428571,0.102777778
555,RBM14,0.828571429,0.058333333
556,MTG1,0.771428571,0.102777778
557,PLCD3,0.771428571,0.102777778
558,RINL,0.771428571,0.102777778
559,KIFBP,0.142857143,0.802777778
560,NMNAT2,0.142857143,0.802777778
561,DNAAF5,0.828571429,0.058333333
562,MAGED1,0.142857143,0.802777778
563,EMC3,0.142857143,0.802777778
564,PKN2,0.828571429,0.058333333
565,BTN3A1,0.771428571,0.102777778
566,TLN2,0.142857143,0.802777778
567,ATXN1L,0.828571429,0.058333333
568,RAX2,0.828571429,0.058333333
569,ERICH3,0.142857143,0.802777778
570,ANAPC13,0.142857143,0.802777778
571,KLF2,0.828571429,0.058333333
572,ATP6AP2,0.142857143,0.802777778
573,TNFRSF10D,0.771428571,0.102777778
574,YY1,0.828571429,0.058333333
575,MAPK10,0.142857143,0.802777778
576,OSBPL10,0.142857143,0.802777778
577,ABHD1,0.771428571,0.102777778
578,NEUROD6,0.142857143,0.802777778
579,TUBA1A,0.142857143,0.802777778
580,PARM1,0.142857143,0.802777778
581,LONP2,0.142857143,0.802777778
582,PPP4C,0.828571429,0.058333333
583,ENO3,0.771428571,0.102777778
584,IKZF4,0.771428571,0.102777778
585,CNOT9,0.142857143,0.802777778
586,DNAJA2,0.142857143,0.802777778
587,ARHGAP22,0.828571429,0.058333333
588,STS,0.142857143,0.802777778
589,PCDH8,0.142857143,0.802777778
590,GATAD2A,0.828571429,0.058333333
591,SGIP1,0.142857143,0.802777778
592,ACSS1,0.828571429,0.058333333
593,TUBB4B,0.142857143,0.802777778
594,SRPX2,0.771428571,0.102777778
595,RPL15,0.142857143,0.802777778
596,TRNAU1AP,0.771428571,0.102777778
597,SLC26A6,0.828571429,0.058333333
598,ITGB1,0.828571429,0.058333333
599,MAT2B,0.142857143,0.802777778
600,PPP2R2C,0.142857143,0.802777778
601,KIAA1755,0.771428571,0.102777778
602,ODAD3,0.828571429,0.058333333
603,ANTXR2,0.828571429,0.058333333
604,LY6G5C,0.771428571,0.102777778
605,DTYMK,0.771428571,0.102777778
606,SYTL4,0.828571429,0.058333333
607,HSCB,0.828571429,0.058333333
608,GATD1,0.828571429,0.058333333
609,ATP1A3,0.142857143,0.802777778
610,JPT1,0.142857143,0.802777778
611,GOLT1B,0.142857143,0.802777778
612,NCAPD2,0.828571429,0.058333333
613,STAT5A,0.828571429,0.058333333
614,GARRE1,0.828571429,0.058333333
615,CREG2,0.142857143,0.802777778
616,CRYGS,0.771428571,0.102777778
617,FOXD1,0.771428571,0.102777778
618,TRIM56,0.828571429,0.058333333
619,TMCC3,0.771428571,0.102777778
620,ELF1,0.828571429,0.058333333
621,GLTP,0.828571429,0.058333333
622,SPRYD7,0.142857143,0.802777778
623,SST,0.142857143,0.802777778
624,LILRA2,0.771428571,0.102777778
625,GNG13,0.142857143,0.802777778
626,GPT,0.771428571,0.102777778
627,MTMR11,0.828571429,0.058333333
628,APOO,0.142857143,0.802777778
629,NGRN,0.142857143,0.802777778
630,NACC2,0.828571429,0.058333333
631,ITGB5,0.828571429,0.058333333
632,ARHGEF10,0.828571429,0.058333333
633,NOMO2,0.142857143,0.802777778
634,GLRB,0.142857143,0.802777778
635,CDC42,0.142857143,0.802777778
636,DCLK1,0.142857143,0.802777778
637,ANLN,0.828571429,0.058333333
638,SNORA70B,0.771428571,0.102777778
639,RNF135,0.771428571,0.102777778
640,DDIT4L,0.828571429,0.058333333
641,ACTR6,0.142857143,0.802777778
642,PKIA,0.142857143,0.802777778
643,KCNB2,0.142857143,0.802777778
644,SMO,0.771428571,0.102777778
645,COX7A2L,0.142857143,0.802777778
646,LINC01205,0.828571429,0.058333333
647,METTL7B,0.771428571,0.102777778
648,ARL6IP1,0.142857143,0.802777778
649,FBXO16,0.142857143,0.802777778
650,RAB13,0.828571429,0.058333333
651,PI16,0.828571429,0.058333333
652,CASP2,0.828571429,0.058333333
653,LRRCC1,0.828571429,0.058333333
654,AK1,0.828571429,0.058333333
655,DDT,0.142857143,0.802777778
656,CFAP418,0.828571429,0.058333333
657,ASL,0.771428571,0.102777778
658,SLC25A29,0.828571429,0.058333333
659,CLDN15,0.828571429,0.058333333
660,DYNC1I1,0.142857143,0.802777778
661,INTS13,0.828571429,0.058333333
662,PDCD4,0.828571429,0.058333333
663,TM2D3,0.142857143,0.802777778
664,KLC2,0.142857143,0.802777778
665,GSPT2,0.142857143,0.802777778
666,UBXN2A,0.828571429,0.058333333
667,MPC2,0.142857143,0.802777778
668,SLC8B1,0.828571429,0.058333333
669,DCTPP1,0.142857143,0.802777778
670,ZNF25,0.142857143,0.802777778
671,ATP6V1B2,0.142857143,0.802777778
672,RHBDF1,0.828571429,0.058333333
673,CNGB1,0.828571429,0.058333333
674,HELZ2,0.828571429,0.058333333
675,PLAU,0.771428571,0.102777778
676,KANSL3,0.828571429,0.058333333
677,ASPRV1,0.771428571,0.102777778
678,WDR20,0.828571429,0.058333333
679,GAB3,0.771428571,0.102777778
680,GOLT1A,0.142857143,0.802777778
681,UNC13A,0.142857143,0.802777778
682,NHSL1-AS1,0.828571429,0.058333333
683,MFSD10,0.828571429,0.058333333
684,TNS3,0.828571429,0.058333333
685,HMGA1,0.142857143,0.802777778
686,TBL1X,0.828571429,0.058333333
687,C8orf58,0.771428571,0.102777778
688,CYP26B1,0.142857143,0.802777778
689,DENR,0.828571429,0.058333333
690,BOLA3,0.142857143,0.802777778
691,SLC6A16,0.771428571,0.102777778
692,GOT1,0.142857143,0.802777778
693,TM2D2,0.142857143,0.802777778
694,MAP2K3,0.828571429,0.058333333
695,ATXN10,0.142857143,0.802777778
696,BMERB1,0.142857143,0.802777778
697,ITPR3,0.828571429,0.058333333
698,TBR1,0.142857143,0.802777778
699,TPI1,0.142857143,0.802777778
700,PHF14,0.142857143,0.802777778
701,CDK19,0.828571429,0.058333333
702,FAM133CP,0.828571429,0.058333333
703,DDIT4,0.828571429,0.058333333
704,UNKL,0.828571429,0.058333333
705,GABRA1,0.142857143,0.802777778
706,NOMO1,0.142857143,0.802777778
707,PCF11,0.828571429,0.058333333
708,PP7080,0.828571429,0.058333333
709,OCIAD1,0.828571429,0.058333333
710,CCDC115,0.142857143,0.802777778
711,PARP10,0.828571429,0.058333333
712,PLAGL1,0.142857143,0.802777778
713,SYNC,0.828571429,0.058333333
714,DOCK6,0.771428571,0.102777778
715,DIAPH1,0.828571429,0.058333333
716,REPIN1,0.828571429,0.058333333
717,TFAP2A,0.771428571,0.102777778
718,PCSK5,0.828571429,0.058333333
719,FOXO4,0.828571429,0.058333333
720,ACSS2,0.828571429,0.058333333
721,CRTAP,0.828571429,0.058333333
722,DNAJB9,0.142857143,0.802777778
723,ANKRD50,0.142857143,0.802777778
724,ARHGAP20,0.142857143,0.802777778
725,PTGFRN,0.142857143,0.802777778
726,SLC12A9,0.828571429,0.058333333
727,DPP6,0.142857143,0.802777778
728,ZBTB42,0.771428571,0.102777778
729,NPFF,0.771428571,0.102777778
730,TTC31,0.828571429,0.058333333
731,FES,0.828571429,0.058333333
732,CHCHD6,0.142857143,0.802777778
733,VDAC1,0.142857143,0.802777778
734,ARHGEF6,0.828571429,0.058333333
735,ARMC12,0.771428571,0.102777778
736,ENDOG,0.142857143,0.802777778
737,CATSPER2,0.828571429,0.058333333
738,YTHDF2,0.142857143,0.802777778
739,GPI,0.142857143,0.802777778
740,NDUFB5,0.142857143,0.802777778
741,DYNLT2B,0.142857143,0.802777778
742,COX5A,0.142857143,0.802777778
743,GUSBP19,0.771428571,0.102777778
744,CLTC,0.142857143,0.802777778
745,RNF114,0.828571429,0.058333333
746,GAS2L3,0.771428571,0.102777778
747,ABRAXAS1,0.828571429,0.058333333
748,PTH1R,0.828571429,0.058333333
749,NFYC-AS1,0.828571429,0.058333333
750,LPAR4,0.771428571,0.102777778
751,FCSK,0.828571429,0.058333333
752,ZC2HC1C,0.828571429,0.058333333
753,ITGB8,0.771428571,0.102777778
754,RPA3,0.142857143,0.802777778
755,SNX10,0.142857143,0.802777778
756,PRR16,0.142857143,0.802777778
757,SLTM,0.828571429,0.058333333
758,SART1,0.771428571,0.102777778
759,ATAD1,0.142857143,0.802777778
760,RORA,0.828571429,0.058333333
761,ZNF430,0.828571429,0.058333333
762,NOTCH4,0.828571429,0.058333333
