,symbol,correlation,pvalue
675,PLAU,0.942857143,0.016666667
676,KANSL3,1,0.002777778
677,ASPRV1,0.942857143,0.016666667
678,WDR20,1,0.002777778
679,GAB3,0.942857143,0.016666667
680,GOLT1A,0.485714286,0.355555556
681,UNC13A,0.485714286,0.355555556
682,NHSL1-AS1,1,0.002777778
683,MFSD10,1,0.002777778
684,TNS3,1,0.002777778
685,HMGA1,0.485714286,0.355555556
686,TBL1X,1,0.002777778
687,C8orf58,0.942857143,0.016666667
688,CYP26B1,0.485714286,0.355555556
689,DENR,1,0.002777778
690,BOLA3,0.485714286,0.355555556
691,SLC6A16,0.942857143,0.016666667
692,GOT1,0.485714286,0.355555556
693,TM2D2,0.485714286,0.355555556
694,MAP2K3,1,0.002777778
695,ATXN10,0.485714286,0.355555556
696,BMERB1,0.485714286,0.355555556
697,ITPR3,1,0.002777778
698,TBR1,0.485714286,0.355555556
699,TPI1,0.485714286,0.355555556
700,PHF14,0.485714286,0.355555556
701,CDK19,1,0.002777778
702,FAM133CP,1,0.002777778
703,DDIT4,1,0.002777778
704,UNKL,1,0.002777778
705,GABRA1,0.485714286,0.355555556
706,NOMO1,0.485714286,0.355555556
707,PCF11,1,0.002777778
708,PP7080,1,0.002777778
709,OCIAD1,1,0.002777778
710,CCDC115,0.485714286,0.355555556
711,PARP10,1,0.002777778
712,PLAGL1,0.485714286,0.355555556
713,SYNC,1,0.002777778
714,DOCK6,0.942857143,0.016666667
715,DIAPH1,1,0.002777778
716,REPIN1,1,0.002777778
717,TFAP2A,0.942857143,0.016666667
718,PCSK5,1,0.002777778
719,FOXO4,1,0.002777778
720,ACSS2,1,0.002777778
721,CRTAP,1,0.002777778
722,DNAJB9,0.485714286,0.355555556
723,ANKRD50,0.485714286,0.355555556
724,ARHGAP20,0.485714286,0.355555556
725,PTGFRN,0.485714286,0.355555556
726,SLC12A9,1,0.002777778
727,DPP6,0.485714286,0.355555556
728,ZBTB42,0.942857143,0.016666667
729,NPFF,0.942857143,0.016666667
730,TTC31,1,0.002777778
731,FES,1,0.002777778
732,CHCHD6,0.485714286,0.355555556
