,symbol,correlation,pvalue
743,GUSBP19,0.257142857,0.658333333
744,CLTC,1,0.002777778
745,RNF114,0.485714286,0.355555556
746,GAS2L3,0.257142857,0.658333333
747,ABRAXAS1,0.485714286,0.355555556
748,PTH1R,0.485714286,0.355555556
749,NFYC-AS1,0.485714286,0.355555556
750,LPAR4,0.257142857,0.658333333
751,FCSK,0.485714286,0.355555556
752,ZC2HC1C,0.485714286,0.355555556
753,ITGB8,0.257142857,0.658333333
754,RPA3,1,0.002777778
755,SNX10,1,0.002777778
756,PRR16,1,0.002777778
757,SLTM,0.485714286,0.355555556
758,SART1,0.257142857,0.658333333
759,ATAD1,1,0.002777778
760,RORA,0.485714286,0.355555556
761,ZNF430,0.485714286,0.355555556
762,NOTCH4,0.485714286,0.355555556
763,SLC35B1,1,0.002777778
764,PFKFB4,0.485714286,0.355555556
765,EML3,0.485714286,0.355555556
766,BDNF,1,0.002777778
767,TM7SF2,1,0.002777778
768,CGNL1,0.485714286,0.355555556
769,FBXO5,0.485714286,0.355555556
770,GPM6A,1,0.002777778
771,UNC45A,0.485714286,0.355555556
772,PHGDH,0.485714286,0.355555556
773,MAT2A,0.485714286,0.355555556
774,TOB2,0.485714286,0.355555556
775,PAK1,1,0.002777778
776,HPSE2,0.257142857,0.658333333
777,MLKL,0.485714286,0.355555556
778,RCAN2,1,0.002777778
779,CHMP5,1,0.002777778
780,HSPB2,0.485714286,0.355555556
781,SFMBT2,0.485714286,0.355555556
782,TMEM106A,0.485714286,0.355555556
783,OR7E14P,0.257142857,0.658333333
784,TTC38,0.485714286,0.355555556
785,LRRC32,0.485714286,0.355555556
786,WBP2,1,0.002777778
787,FH,1,0.002777778
788,PIGX,0.485714286,0.355555556
789,RBFOX1,1,0.002777778
790,PNKD,1,0.002777778
791,ZNF222,1,0.002777778
792,RTN1,1,0.002777778
793,MECP2,1,0.002777778
794,CASZ1,0.257142857,0.658333333
795,SDHB,1,0.002777778
796,LRP6,0.257142857,0.658333333
797,PODN,0.485714286,0.355555556
798,TBX2,0.485714286,0.355555556
799,MAGI2-AS3,0.485714286,0.355555556
800,F8,1,0.002777778
801,ASAP3,0.485714286,0.355555556
802,NDUFV2,1,0.002777778
803,PTH2R,1,0.002777778
804,SPOUT1,0.485714286,0.355555556
805,KIAA0513,1,0.002777778
806,NUPR1,0.485714286,0.355555556
807,RMI2,1,0.002777778
808,UQCRH,1,0.002777778
809,OGDHL,1,0.002777778
810,IMP3,1,0.002777778
811,DEF6,0.257142857,0.658333333
812,KIAA0930,0.485714286,0.355555556
813,NEU1,1,0.002777778
814,DTD1,1,0.002777778
815,CYTIP,0.257142857,0.658333333
816,FZD9,0.485714286,0.355555556
817,CTNS,0.485714286,0.355555556
818,CLSTN1,1,0.002777778
819,STAMBPL1,1,0.002777778
820,MOAP1,1,0.002777778
821,MATR3,1,0.002777778
822,PRNP,1,0.002777778
823,PARP14,0.485714286,0.355555556
824,KMT2E,0.485714286,0.355555556
825,DGAT1,0.485714286,0.355555556
826,SFSWAP,0.485714286,0.355555556
827,SRSF1,0.485714286,0.355555556
828,GPSM1,0.485714286,0.355555556
829,GALNS,0.257142857,0.658333333
830,KLHL42,1,0.002777778
831,SMIM17,1,0.002777778
832,PPEF1,1,0.002777778
833,PRXL2C,0.257142857,0.658333333
834,GIPC3,0.257142857,0.658333333
835,COX10,1,0.002777778
836,SYP,1,0.002777778
837,LRRC37BP1,0.485714286,0.355555556
838,LRRC1,0.485714286,0.355555556
839,ESRRA,0.485714286,0.355555556
840,RABGAP1L,0.257142857,0.658333333
841,OPA1,1,0.002777778
842,ARHGAP32,1,0.002777778
843,WASL,1,0.002777778
844,ARF4,1,0.002777778
845,ATP2A2,1,0.002777778
846,ACTB,1,0.002777778
847,TTC7B,1,0.002777778
848,SCG2,1,0.002777778
849,LRRC8B,1,0.002777778
850,CTRL,0.257142857,0.658333333
851,ARF1,1,0.002777778
852,AKAP11,1,0.002777778
853,LGMN,1,0.002777778
854,ANKRD23,0.257142857,0.658333333
855,LINC00997,0.485714286,0.355555556
856,GAD1,1,0.002777778
857,SPEN,0.485714286,0.355555556
858,MTX2,1,0.002777778
859,NELL1,1,0.002777778
860,LINC00320,0.485714286,0.355555556
861,DNAJB12,0.485714286,0.355555556
862,NECAP1,1,0.002777778
863,DANCR,0.485714286,0.355555556
864,SMIM1,0.257142857,0.658333333
865,ITFG1,1,0.002777778
866,DRG1,1,0.002777778
867,TCEAL6,1,0.002777778
868,PSMA5,1,0.002777778
869,TBC1D9B,0.485714286,0.355555556
870,RIPK1,0.485714286,0.355555556
871,CORT,1,0.002777778
872,ZNF148,0.485714286,0.355555556
873,FANCC,0.257142857,0.658333333
874,DPYSL3,0.485714286,0.355555556
875,URI1,0.485714286,0.355555556
876,PSMD5,1,0.002777778
877,CARD9,0.485714286,0.355555556
878,MAP3K5,0.485714286,0.355555556
879,SHROOM1,0.257142857,0.658333333
880,ATP6V1F,1,0.002777778
881,PCCB,1,0.002777778
882,SCN3B,1,0.002777778
883,LOC401261,0.485714286,0.355555556
884,PIDD1,0.485714286,0.355555556
885,NOP53,0.485714286,0.355555556
886,MED10,1,0.002777778
887,ARHGAP9,0.485714286,0.355555556
888,NCBP3,0.485714286,0.355555556
889,ACTG1,1,0.002777778
890,KIAA1958,0.485714286,0.355555556
891,APMAP,1,0.002777778
892,ZFHX4-AS1,1,0.002777778
893,FBXL2,1,0.002777778
894,PCMT1,1,0.002777778
895,GAL3ST4,0.485714286,0.355555556
